Ano;Semana;Casos;Inicio;Fim
2014;Semana 01;4633;29/12/2013;04/01/2014
2014;Semana 02;6137;05/01/2014;11/01/2014
2014;Semana 03;6960;12/01/2014;18/01/2014
2014;Semana 04;8350;19/01/2014;25/01/2014
2014;Semana 05;9583;26/01/2014;01/02/2014
2014;Semana 06;10904;02/02/2014;08/02/2014
2014;Semana 07;12903;09/02/2014;15/02/2014
2014;Semana 08;13615;16/02/2014;22/02/2014
2014;Semana 09;12245;23/02/2014;01/03/2014
2014;Semana 10;13485;02/03/2014;08/03/2014
2014;Semana 11;16207;09/03/2014;15/03/2014
2014;Semana 12;20100;16/03/2014;22/03/2014
2014;Semana 13;25009;23/03/2014;29/03/2014
2014;Semana 14;28370;30/03/2014;05/04/2014
2014;Semana 15;34090;06/04/2014;12/04/2014
2014;Semana 16;36493;13/04/2014;19/04/2014
2014;Semana 17;37389;20/04/2014;26/04/2014
2014;Semana 18;33911;27/04/2014;03/05/2014
2014;Semana 19;29598;04/05/2014;10/05/2014
2014;Semana 20;28055;11/05/2014;17/05/2014
2014;Semana 21;22875;18/05/2014;24/05/2014
2014;Semana 22;18632;25/05/2014;31/05/2014
2014;Semana 23;14651;01/06/2014;07/06/2014
2014;Semana 24;11207;08/06/2014;14/06/2014
2014;Semana 25;9255;15/06/2014;21/06/2014
2014;Semana 26;7874;22/06/2014;28/06/2014
2014;Semana 27;6686;29/06/2014;05/07/2014
2014;Semana 28;5932;06/07/2014;12/07/2014
2014;Semana 29;5026;13/07/2014;19/07/2014
2014;Semana 30;4699;20/07/2014;26/07/2014
2014;Semana 31;4098;27/07/2014;02/08/2014
2014;Semana 32;3702;03/08/2014;09/08/2014
2014;Semana 33;3674;10/08/2014;16/08/2014
2014;Semana 34;3632;17/08/2014;23/08/2014
2014;Semana 35;3588;24/08/2014;30/08/2014
2014;Semana 36;3989;31/08/2014;06/09/2014
2014;Semana 37;4414;07/09/2014;13/09/2014
2014;Semana 38;4346;14/09/2014;20/09/2014
2014;Semana 39;4414;21/09/2014;27/09/2014
2014;Semana 40;4747;28/09/2014;04/10/2014
2014;Semana 41;4557;05/10/2014;11/10/2014
2014;Semana 42;4568;12/10/2014;18/10/2014
2014;Semana 43;4478;19/10/2014;25/10/2014
2014;Semana 44;4115;26/10/2014;01/11/2014
2014;Semana 45;4388;02/11/2014;08/11/2014
2014;Semana 46;4446;09/11/2014;15/11/2014
2014;Semana 47;4900;16/11/2014;22/11/2014
2014;Semana 48;4504;23/11/2014;29/11/2014
2014;Semana 49;4865;30/11/2014;06/12/2014
2014;Semana 50;4964;07/12/2014;13/12/2014
2014;Semana 51;4790;14/12/2014;20/12/2014
2014;Semana 52;5354;21/12/2014;27/12/2014
2014;Semana 53;2154;28/12/2014;03/01/2015
2015;Semana 01;11751;04/01/2015;10/01/2015
2015;Semana 02;15597;11/01/2015;17/01/2015
2015;Semana 03;24146;18/01/2015;24/01/2015
2015;Semana 04;30277;25/01/2015;31/01/2015
2015;Semana 05;38725;01/02/2015;07/02/2015
2015;Semana 06;39615;08/02/2015;14/02/2015
2015;Semana 07;47672;15/02/2015;21/02/2015
2015;Semana 08;59624;22/02/2015;28/02/2015
2015;Semana 09;78887;01/03/2015;07/03/2015
2015;Semana 10;91632;08/03/2015;14/03/2015
2015;Semana 11;100447;15/03/2015;21/03/2015
2015;Semana 12;92318;22/03/2015;28/03/2015
2015;Semana 13;87022;29/03/2015;04/04/2015
2015;Semana 14;103082;05/04/2015;11/04/2015
2015;Semana 15;94220;12/04/2015;18/04/2015
2015;Semana 16;93167;19/04/2015;25/04/2015
2015;Semana 17;90847;26/04/2015;02/05/2015
2015;Semana 18;79733;03/05/2015;09/05/2015
2015;Semana 19;64716;10/05/2015;16/05/2015
2015;Semana 20;51213;17/05/2015;23/05/2015
2015;Semana 21;39502;24/05/2015;30/05/2015
2015;Semana 22;31193;31/05/2015;06/06/2015
2015;Semana 23;27220;07/06/2015;13/06/2015
2015;Semana 24;22849;14/06/2015;20/06/2015
2015;Semana 25;15825;21/06/2015;27/06/2015
2015;Semana 26;12489;28/06/2015;04/07/2015
2015;Semana 27;10389;05/07/2015;11/07/2015
2015;Semana 28;9142;12/07/2015;18/07/2015
2015;Semana 29;8609;19/07/2015;25/07/2015
2015;Semana 30;7301;26/07/2015;01/08/2015
2015;Semana 31;6732;02/08/2015;08/08/2015
2015;Semana 32;6612;09/08/2015;15/08/2015
2015;Semana 33;5776;16/08/2015;22/08/2015
2015;Semana 34;5053;23/08/2015;29/08/2015
2015;Semana 35;5162;30/08/2015;05/09/2015
2015;Semana 36;5311;06/09/2015;12/09/2015
2015;Semana 37;5397;13/09/2015;19/09/2015
2015;Semana 38;5185;20/09/2015;26/09/2015
2015;Semana 39;5492;27/09/2015;03/10/2015
2015;Semana 40;5532;04/10/2015;10/10/2015
2015;Semana 41;5603;11/10/2015;17/10/2015
2015;Semana 42;6365;18/10/2015;24/10/2015
2015;Semana 43;6847;25/10/2015;31/10/2015
2015;Semana 44;9246;01/11/2015;07/11/2015
2015;Semana 45;11636;08/11/2015;14/11/2015
2015;Semana 46;13347;15/11/2015;21/11/2015
2015;Semana 47;14382;22/11/2015;28/11/2015
2015;Semana 48;18723;29/11/2015;05/12/2015
2015;Semana 49;21570;06/12/2015;12/12/2015
2015;Semana 50;21355;13/12/2015;19/12/2015
2015;Semana 51;18293;20/12/2015;26/12/2015
2015;Semana 52;12494;27/12/2015;02/01/2016
2016;Semana 01;42924;03/01/2016;09/01/2016
2016;Semana 02;48959;10/01/2016;16/01/2016
